Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/seen/schweiz/neuenburgersee/,217.9,km²,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/neuenhainer-see/,4.4,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/neufelder-see/,1.26,km²,,,,,,
https://www.wassertemperatur.org/neusiedler-see/,285.0,km²,,,,,47.8725,16.8383
https://www.wassertemperatur.org/deutschland/sachsen-anhalt/neustaedter-see/,60.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/nidda-stausee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/niedersonthofener-see/,135.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/niederweimarer-see/,17.7,ha,,,,,,
https://www.wassertemperatur.org/deutschland/sachsen-anhalt/niegripper-see/,1.2,km²,,,,,,
https://www.wassertemperatur.org/nordsee/,,,,,,,53.9088,8.4677
https://www.wassertemperatur.org/deutschland/bayern/oberer-lechsee/,135.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/obersee/,57.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/obertrumer-see/,4.88,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/obinger-see/,31.18,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/oeschinensee/,1.1,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/offensee/,57.0,ha,,,,,,
https://www.wassertemperatur.org/ortasee/,18.2,km²,,,,,,
https://www.wassertemperatur.org/ossiacher-see/,,,,,,,,
https://www.wassertemperatur.org/ostsee/,,,,,,,54.7151,19.8174
https://www.wassertemperatur.org/deutschland/nrw/otto-maigler-see/,140.0,ha,,,,,50.8994,6.8628
https://www.wassertemperatur.org/deutschland/bayern/perlsee/,21.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/pfaeffikersee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/pilsensee/,,,,,,,,
https://www.wassertemperatur.org/oesterreich/pirkdorfer-see/,3.5,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/pleschinger-see/,13.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/ploener-see/,,,,,,,,
